title	summary	website
CPTAC LUAD Discovery Study	    <p><a href="https://cptac-data-portal.georgetown.edu/study-summary/S056" target="_blank">Proteogenomics of Lung Adenocarcinoma, Gillette et al., 2020 publication is here</a><br><br>Lung cancer is a leading cause of cancer death in the United States and in 2019 it is estimated that there will be over 228,000 new cases (<a href="https://www.cancer.org/cancer/non-small-cell-lung-cancer/about/key-statistics.html" target="_blank">American Cancer Society</a>). There are two main types, small cell lung cancer (SCLC) and non-small cell lung cancer (NSCLC). A majority of patients (85%) have NSCLC, with a significant portion of those individuals having a histological subtype lung adenocarcinoma (LUAD) <a href="https://www.ncbi.nlm.nih.gov/pubmed/29364287" target="_blank">Herbst et al., 2018 Nature</a>. To advance the proteogenomic understanding of LUAD, the CPTAC program has investigated 111 tumors, (with 102 tumors paired with normal adjacent tissue samples) and subjected these samples to global proteome and phosphoproteome analysis. An optimized workflow for mass spectrometry of tissues using isobaric tags (TMT (tandem mass tags)-10) was used (<a href="https://www.ncbi.nlm.nih.gov/pubmed/29988108" target="_blank">Mertins et al., Nature Protocols 2018</a>). Proteome and phosphoproteome data from the LUAD discovery cohort is available below along with peptide spectrum matches (PSMs) and protein summary reports from the CPTAC common data analysis pipeline (CDAP).</p><p><em>Clinical Data</em> for LUAD tumors are provided below. Updates will be available as the LUAD cohort characterization proceeds.<br><em>Genomic Data</em> for LUAD tumors is available from the NCI Genomic Data Commons (GDC), <a href="https://portal.gdc.cancer.gov/projects/CPTAC-3" target="_blank">here</a><br><em>Imaging Data</em> for LUAD tumors is available from NCI, The Cancer Imaging Archive (TCIA), <a href="https://wiki.cancerimagingarchive.net/display/Public/CPTAC-LUAD" target="_blank">here</a><br>This release includes over 4500 files and 914 GB of data.</p>
    <ul><li>Dataset imported into MassIVE from <a href="https://cptac-data-portal.georgetown.edu/study-summary/S046">https://cptac-data-portal.georgetown.edu/study-summary/S046</a> on 01/29/21</li></ul>	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000086793
Mass spectrometry-based direct detection of multiple types of protein thiol modifications in pancreatic beta cells under endoplasmic reticulum stress	A 2D-LC-MS/MS strategy coupled with TMT-10 labeling was applied to mouse pancreatic beta cells (hetaTC-6) induced with ER stress by Thapsigargin to study the global proteome and protein cysteine PTM changes under ER stress. Samples were digested with trypsin, labeled with 10-plex TMT, then analyzed by LC-MS/MS. Data was searched with MS-GF+ using PNNL's DMS processing pipeline	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000087543
Microscaled Proteogenomic Methods for Precision Oncology	<p>Shankha Satpathy, Eric J. Jaehnig, et al., <a href="https://www.nature.com/articles/s41467-020-14381-2" target="_blank">Nature Communications volume 11, Article number: 532 (2020)</a></p><p>Cancer proteogenomics promises new insights into cancer biology and treatment efficacy by integrating genomics, transcriptomics and protein profiling including modifications by mass spectrometry (MS). A critical limitation is sample input requirements that exceed many sources of clinically important material. Here we report a proteogenomics approach for core biopsies using tissue-sparing specimen processing and microscaled proteomics. As a demonstration, we analyze core needle biopsies from ERBB2 positive breast cancers before and 48-72 h after initiating neoadjuvant trastuzumab-based chemotherapy. We show greater suppression of ERBB2 protein and both ERBB2 and mTOR target phosphosite levels in cases associated with pathological complete response, and identify potential causes of treatment resistance including the absence of ERBB2 amplification, insufficient ERBB2 activity for therapeutic sensitivity despite ERBB2 amplification, and candidate resistance mechanisms including androgen receptor signaling, mucin overexpression and an inactive immune microenvironment. The clinical utility and discovery potential of proteogenomics at biopsy-scale warrants further investigation.<br><br><em>Genomic Data</em> for samples in the Microscaled Proteogenomic Methods Publication are available from the NIH Database of Genotypes and Phenotypes (dbGaP), Study Accession: phs001907.v1.p1, <a href="https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001907.v1.p1" target="_blank">here</a></p>
<ul><li>Dataset imported into MassIVE from <a href="https://cptac-data-portal.georgetown.edu/study-summary/S051">https://cptac-data-portal.georgetown.edu/study-summary/S051</a> on 06/02/21</li></ul>	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000087566
Mass spectrometry-based draft of the mouse proteome	Quantitative draft map of the proteomes of 41 healthy tissues of the animal model Mus musculus and a panel of 66 murine pancreatic ductal adenocarcinoma cell lines and. Our in-depth analysis provides evidence for proteins encoded by >16,000 genes (~76% of the total annotated protein-coding genes), where they are expressed and in which quantities. Moreover, a widespread yet tissue- and cell type-specific phosphorylation pattern is clearly represented in our data (>50,000 sites). We further leverage our analysis by integrating the phenotypic response of a the murine PDAC cell lines panel to cancer drugs and ionizing radiation, to shed light on the molecular mechanisms underlying drug action and radioresistance. This large and unique atlas is made available to the scientific community also via ProteomicsDB (https://www.proteomicsDB.org) and the interactive web application PACiFIC (http://pacific.proteomics.wzw.tum.de).	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000089856
Reproducible Workflow for Multiplexed Deep-Scale Proteome and Phosphoproteome Analysis of Tumor Tissues by Liquid Chromatography-Mass Spectrometry	<p>Mertins P, Tang LC, Krug K, Clark DJ, Gritsenko MA, Chen L, Clauser KR, Clauss TR, Shah P, Gillette MA, et al., <a href="https://www.nature.com/articles/s41596-018-0006-9" target="_blank">Nat Protoc. 2018 Jul 9. doi: 10.1038/s41596-018-0006-9</a></p><p>Here we present an optimized workflow for global proteome and phosphoproteome analysis of tissues or cell lines that uses isobaric tags (TMT (tandem mass tags)10) for multiplexed analysis and relative quantification, and provides 3x higher throughput than iTRAQ (isobaric tags for absolute and relative quantification)-4-based methods with high intra and inter-laboratory reproducibility. The workflow was systematically characterized and benchmarked across three independent laboratories using two distinct breast cancer subtypes from patient-derived xenograft models to enable assessment of proteome and phosphoproteome depth and quantitative reproducibility. Each plex consisted of ten samples, each being 300 ug of peptide derived from <50 mg of wet-weight tissue. Of the 10,000 proteins quantified per sample, we could distinguish 7,700 human proteins derived from tumor cells and 3100 mouse proteins derived from the surrounding stroma and blood. The maximum deviation across replicates and laboratories was <7%, and the inter-laboratory correlation for TMT ratio-based comparison of the two breast cancer subtypes was r &gt; 0.88. The maximum deviation for the phosphoproteome coverage was <24% across laboratories, with an average of &gt;37,000 quantified phosphosites per sample and differential quantification correlations of r &gt; 0.72. The full procedure, including sample processing and data generation, can be completed within 10 d for ten tissue samples, and 100 samples can be analyzed in ~4 months using a single LC-MS/MS instrument. The high quality, depth, and reproducibility of the data obtained both within and across laboratories should enable new biological insights to be obtained from mass spectrometry-based proteomics analyses of cells and tissues together with proteogenomic data integration.</p><ul><li>Dataset imported into MassIVE from <a href="https://cptac-data-portal.georgetown.edu/cptac/s/S036">https://cptac-data-portal.georgetown.edu/cptac/s/S036</a> on 08/30/19</li></ul>	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084265
Evaluation of NCI-7 Cell Line Panel as a Reference Material for Clinical Proteomics	Reference materials are vital to benchmarking the reproducibility of clinical tests and essential for monitoring laboratory performance for clinical proteomics. The reference material utilized for mass spectrometric analysis of the human proteome would ideally contain enough proteins to be suitably representative of the human proteome, as well as exhibit a stable protein composition in different batches of sample regeneration. Previously, The Clinical Proteomic Tumor Analysis Consortium (CPTAC) utilized a PDX-derived comparative reference (CompRef) materials for the longitudinal assessment of proteomic performance; however, inherent drawbacks of PDX-derived material, including extended time needed to grow tumors and high level of expertise needed, have resulted in efforts to identify a new source of CompRef material. In this study, we examined the utility of using a panel of seven cancer cell lines, NCI-7 Cell Line Panel, as a reference material for mass spectrometric analysis of human proteome. Our results showed that not only is the NCI-7 material suitable for benchmarking laboratory sample preparation methods, but also NCI-7 sample generation is highly reproducible at both the global and phosphoprotein levels. In addition, the predicted genomic and experimental coverage of the NCI-7 proteome suggests the NCI-7 material may also have applications as a universal standard proteomic reference.

<ul><li>Dataset imported into MassIVE from <a href="https://cptac-data-portal.georgetown.edu/study-summary/S041">https://cptac-data-portal.georgetown.edu/study-summary/S041</a> on 12/08/21</li></ul>	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000088547
The impact II, a very high resolution quadrupole time-of-flight instrument for deep shotgun proteomics	Hybrid quadrupole time-of-flight (QTOF) is one of the two major mass spectrometric technologies used in proteomics. Although based on simple fundamental principles, it has over the last decades greatly evolved in terms of achievable resolution, mass accuracy and dynamic range. The Bruker impact platform of QTOF instruments takes advantage of these developments and here we develop and evaluate the impact II for shotgun proteomics applications. Adaption of our heated LC system achieved very narrow peptide elution peaks. The impact II is equipped with a new collision cell with both axial and radial ion ejection, more than doubling ion extraction at high MS/MS frequencies. The new reflectron and detector improve resolving power compared to the previous model up to 80%, i.e. to 40,000 at m/z 1222. We analyzed the ion current from the inlet capillary and found very high transmission (>80%) up to the collision cell. Simulation and measurement indicated 60% transfer into the flight tube. We adapted MaxQuant for QTOF data, improving absolute average mass deviations to better than 1.45 ppm. More than 4,800 proteins can be identified in a single run of HeLa digest in a 90 min gradient. The workflow achieved high technical reproducibility (R2>0.99) and accurate fold change determination in spike-in experiments over three orders of magnitude in complex mixtures. Using label-free quantification we rapidly quantified haploid against diploid yeast and characterized overall proteome differences in mouse cell lines originated from different tissues. Finally, after high pH reversed-phase fractionation we identified 9,515 proteins in a triplicate measurement of HeLa peptide mixture and 11,257 proteins in cerebellum â�?��?? the highest proteome coverage measured with a QTOF instrument so far.	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000079935
Proteome and phosphoproteome analysis of brown adipocytes reveals that RICTOR loss dampens global insulin/AKT signaling	Stimulating brown adipose tissue (BAT) activity represents a promising therapy for overcoming metabolic diseases. mTORC2 has been shown to be important for regulating BAT metabolism, yet its mechanism of activation is not known, nor are the identities of its downstream effectors. In this study, we apply proteomics to investigate the role of mTORC2 in brown adipocytes. To assess the role of mTORC2 in brown adipocytes, we compare wild-type controls to isogenic cells with an induced knockout of the mTORC2-specific subunit RICTOR (Rictor-iKO) by stimulating each with insulin for a 30 minute time course, and measuring the proteomes and phosphoproteomes. In Rictor-iKO cells, we identify decreases to the abundance of glycolytic and de novo lipogenesis enzymes, and increases to mitochondrial proteins as well as a set of proteins known to increase upon interferon stimulation, suggesting increased interferon-like signaling. We observe significant differences to basal phosphorylation including decreased phosphorylation of the lipid droplet protein perilipin-1 in Rictor-iKO cells and Rictor-null mouse BAT, suggesting that RICTOR could be involved with regulating basal lipolysis or droplet dynamics. And finally, we observe a general dampening of the insulin signaling response in Rictor-iKO cells. Some sites exhibit significant dependence on RICTOR, including an AKT substrate site on ATP citrate lyase, which could partially explain the previously-observed RICTOR dependence of de novo lipogenesis from glucose in BAT.	https://massive.ucsd.edu/ProteoSAFe/FindDatasets?query=MSV000084310
