title	summary	website
Proteogenomic characterization of developmental defects in the forebrain resulting from hyperactivated mTOR signaling	Hyperactivated mTOR signaling in the developing brain by mutation of TSC1 genes has multiple forms of pathology including tuberous sclerosis complex (TSC). To examine the downstream networks affected in the developing brain by hyperactivated mTOR signaling, we performed an integrated analysis of transcriptomic and proteomic analysis of forebrain of wild-type and TSC1/Emx1-Cre mouse. Our results provide novel and fundamental molecular bases for understanding hyperactivaed mTOR signaling-induced brain defects which can in turn facilitate identification of potential diagnostic markers and therapeutic targets for mTOR signaling-related neurological disorders.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD005768
Multifunctional Activity-Based Protein Profiling of the Developing Lung	Data includes proteomics analysis of P450-ABP (2EN, ATW8, ATW12), FP-2, and ATP-ABP labeled mouse lung lysate S9. Lungs from the following developmental stages were used in the study: gestational day 17, post natal days 0, 21, and 42. Also included are global analyses of the same mice lungs.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD008836
Mouse lung proteome response to a wild type infectious clone of H7N9 Influenza virus and mutants	Proteomic data from mouse lung; Treated with wild-type and mutant H7N9 and mockulum; Time points 1, 2, 4 & 7 days; 5 biological replicates	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002982
Phosphoproteomics of MuSK Signaling	The development of the neuromuscular synapse depends on signaling processes which involve protein phosphorylation as a crucial regulatory event. The receptor tyrosine kinase MuSK is the key signaling molecule at the neuromuscular synapse whose activity is required for the formation of a mature and functional neuromuscular synapse. However, the signaling cascade downstream of MuSK and the regulation of the different components is still poorly understood. Here we present data from a quantitative phosphoproteomics approach to study MuSK-dependent processes. Muscle cells were stimulated with the heparansulfate proteoglycan agrin, which activates MuSK and downstream signaling events. To get an insight into the signaling dynamics we used three different time points (unstimulated, 15 min, 60 min and 4 hrs).	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000558
A Bartonella effector acts as signaling hub for intrinsic STAT3 activation to trigger anti-inflammatory responses	Chronically infecting pathogens avoid clearance by the innate immune system by promoting premature transition from an initial pro-inflammatory response towards an anti-inflammatory tissue-repair response. STAT3, a central regulator of inflammation, controls this transition and thus is targeted by numerous chronic pathogens. Here we show that BepD, an effector of the chronic bacterial pathogen Bartonella henselae targeted to infected host cells, establishes an exceptional pathway for canonical STAT3 activation, thereby impairing secretion of pro-inflammatory TNF-¦Á and stimulating secretion of anti-inflammatory IL-10. Tyrosine phosphorylation of EPIYA-related motifs in BepD facilitates STAT3 binding and activation via c-Abl-dependent phosphorylation of Y705. The tyrosine-phosphorylated scaffold of BepD thus represents a signaling hub for intrinsic STAT3 activation that is independent from canonical STAT3 activation via transmembrane receptor-associated Janus kinases. We anticipate that our findings on a molecular shortcut to STAT3 activation will inspire new treatment options for chronic infections and inflammatory diseases.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD017119
Reshaping of the MHC-I ligandome in response to reovirus-based cancer immunotherapy	Oncolytic viruses (OVs), known for their cancer-killing characteristics, overturn tumor-associated defects in antigen presentation through the MHC class I pathway and induce protective neo antitumor CD8 T cell responses. Nonetheless, whether OVs shape the tumor MHC-I ligandome remains unknown. Here, we investigated if an OV induces the presentation of novel MHC I-bound tumor antigens (termed tumor MHC-I ligands). Using comparative mass spectrometry (MS)-based MHC-I ligandomics, we determined differential tumor MHC-I ligand expression following treatment with oncolytic reovirus in a murine ovarian cancer model. In vitro we found that reovirus induces the presentation of tumor MHC-I ligands in cancer cells. Concurrent multiplexed quantitative proteomics revealed that the changes in tumor MHC-I ligand presentation were mostly independent of reovirus-induced alterations of their source proteins. In an in vivo model, tumor MHC-I ligands were induced by reovirus in tumors but also, more importantly, analysis of spleens (a source of antigen-presenting cells) showed exclusive induction of most MHC-I ligands occurred in tumor-bearing mice. Finally, IFN¦Ã assays demonstrated immunogenicity of the reovirus-induced MHC-I ligands. OV-induced MHC-I responses may be exploited in combinatorial approaches to promote the efficacy of cancer immunotherapies.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD013066
Assessing the Effects of Redox Modifier MnTnBuOE-2-PyP 5+ on Cognition and Hippocampal Physiology Following Doxorubicin, Cyclophosphamide, and Paclitaxel Treatment	Chemotherapy treatment for breast cancer can induce cognitive impairments often involving oxidative stress. The brain, as a whole, is susceptible to oxidative stress due to its high-energy requirements, limited anaerobic respiration capacities, and limited antioxidant defenses. The goal of the current study was to determine if the manganese porphyrin SOD mimetic MnTnBuOE-2-PyP (MnBuOE) could ameliorate the effects of doxorubicin, cyclophosphamide, and paclitaxel (AC-T) on mature dendrite morphology and cognitive function. Four-month-old female C57BL/6 mice received intraperitoneal injections of chemotherapy followed by subcutaneous injections of MnBuOE. Four weeks following chemotherapy treatment, mice were tested for hippocampus-dependent cognitive performance in the Morris water maze. After testing, brains were collected for Golgi staining and molecular analyses. MnBuOE treatment preserved spatial memory during the Morris water-maze. MnBuOE/AC-T showed spatial memory retention during all probe trials. AC-T treatment significantly impaired spatial memory retention in the first and third probe trial (no platform). AC-T treatment decreased dendritic length in the Cornu Ammonis 1 (CA1) and dentate gyrus (DG) areas of the hippocampus while AC-T/MnBuOE maintained dendritic length. Comparative proteomic analysis revealed affected protein networks associated with cell morphology and behavior functions in both the AC-T and AC-T/MnBuOE treatment groups	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD017271
Molecular effects of Vitamin C treatment in MSC80 cells, a suitable Schwann cell model	Schwann cells (SCs) are not only decisive to produce the axon-wrapping myelin sheath thus ensuring a proper nerve conduction but also exhibit with trophic function and can direct repair mechanisms of the peripheral nervous system. Consequently, suitable and well-characterized SC in vitro models are needed to perform appropriate pre-clinical studies including the investigation of the complex biochemical adaptations occurring in the peripheral nervous system (PNS) under different (patho)physiological conditions. MSC80 cells represent a SC line derived from mouse used in laboratories as a suitable in vitro system for neuropathological studies. As a comprehensive MSC80 protein catalogue remained elusive, here we introduce the most abundant 9532 proteins identified via mass spectrometry based protein analytics and thus provide the most comprehensive SC protein catalogue published thus far. Hereby, not only proteins causative for inherited neuropathies were covered but it has also been demonstrated that apart from cytoplasmic and nuclear proteins, mitochondrial proteins and such belonging to the protein processing machinery are very well covered. Moreover, we addressed the suitability of MSC80 to examine molecular effect of a drug-treatment by analyzing the proteomic signature of Vitamin C-treated MSC80 cells. Proteomic findings along with further immunological and functional experiments support the concept of a beneficial role influence of Vitamin C on oxidative stress and identified TMX1 as an oxidative stress protective factor in SC which might represent a promising target for therapeutic intervention of PNS disorders with marked oxidative stress burden such as diabetic neuropathy.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006910
CPTAC System Suitability (CompRef) Study: Proteome, PNNL	The objective of the "System Suitability (CompRef) Study" was to validate mass spectrometry protocols used at each Proteome Characterization Center (PCC).  Please include this attribution in publications, "Data used in this publication was created by the Clinical Proteomics Tumor Analysis Consortium (NCI/NIH)."	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000966
Proteomics analysis of Formalin Fixed Paraffin Embedded tissues in the investigation of prostate cancer	b'As proteins represent cell function, proteomic analysis of prostate tissues may elucidate the mechanisms of prostate cancer (PCa) progression. To that end, formalin-fixed paraffin-embedded (FFPE) tissues are valuable resources, but associated with large analytical difficulties due to protein cross-linking. Our aim is to characterize tissue protein changes associated with castration resistant PCa. This study focused at the development of a reliable protocol for the proteomic analysis of FFPE tissues which was followed by a pilot study using FFPE PCa clinical samples to investigate whether the optimized protocol can provide biologically relevant data in the context of PCa. Archival FFPE mouse tissues were processed using seven protein extraction protocols including combinations of homogenization means (beads, sonication, boiling) and buffers (Tris-HCl and Urea-Thiourea). The proteomics output was evaluated by SDS electrophoresis and high resolution LC-MS/MS analysis. FFPE tissues (3 sections, 15\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbdm each per sample) from 10 patients with PCa corresponding to tumor (GS=6 or GS\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd8) and adjacent benign regions were processed with the optimized protocol. Extracted proteins were analyzed by GeLC-MS/MS followed by statistical and bioinformatics analysis using Cytsoscape and Open Targets tool. A combination of cell lysis by Tris-HCl, SDS and DTE with bead homogenization, sonication and boiling provided most efficient protein extraction from FFPE tissues based on protein identifications and reproducibility. Comparison between the FFPE and matched FF tissues showed a substantial overlap in protein identifications (502 common out of 1,216 IDs commonly identified in all FF samples and 530 IDs commonly identified in all FFPE samples) with a strong correlation in relative abundances (rs=0.846, p<.001). Proteins significantly deregulated between PCa GS\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd8 and PCa GS=6 represented extracellular matrix organisation, phosphorylation and gluconeogenesis pathways, while proteins deregulated between cancerous tissues and benign counterparts, reflected increased translation, peptide synthesis and protein metabolism in the former, as expected. Further disease association analysis using the Open Targets platform showed that 60% of the differentially expressed proteins in cancer versus normal adjacent were significantly associated with PCa. These results support the relevance of the proteomic findings in the context of PCa and the reliability of the optimized protocol for proteomics analysis of FFPE material. A large scale study including 160 clinical FFPE prostate cancer and benign tissues to define protein changes associated with aggressive PCa, is planned.'	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD015981
Mouse liver expression additional replicates	This study sought to interrogate the effects of lipids and lipid metabolites on the hepatic proteome. Protein expression in high-fat diet (HFD) mouse livers vs. livers of normal chow fed (NC) mice were investigated using multiplexed quantitative LC-MS/MS (TMT labeling). This experiment contains additional replicates for normal chow and mice on high-fat diet for 16 weeks.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD013815
Hepatocyte-specific BIRC5 (Survivin)-knockout-mouse model, Subcellular fractionation	Experimental design For the label-free proteome analysis 17 mice were used composed of 5 individual wildtype mice for each condition before (WTprePHE) and after hepatectomy (WTpostPHE).  For the pre-hepatectomy condition four BIRC5-knockout mice (KOprePHE) were analyzed and three individuals after partial hepatectomy (KOpostPHE). For the LC-MS/MS analysis the samples were pre-fractionated by subcellular protein fractionatio. All samples corresponding to a subcellular fraction were analyzed in an individual label-free study.    Subcellular protein fractionation The subcellular fractions were generated using the Subcellular Protein Fractionation Kit for Tissue (Thermo Scientific, Bremen, Germany).    Sample preparation and tryptic digestion 5ug of protein were loaded on a 18% Tris-glycine acrylamide gel (Anamed Electrophorese, Grosz-Bieberau, Germany).  The samples were allowed to run slightly into the gel (15 min, 100 V) and form a single band of approximately 3mm height.  The bands were stained with Coomassie, manually cut from the gel and digested with trypsin (Serva Electrophoresis, Heidelberg, Germany) in 10 mM ammonium bicarbonate buffer (pH 7.8) overnight at 37 degrees C.   LC-MS/MS Analysis  The RPLC-MS/MS analysis was performed using an Ultimate 3000 RSLCnano system (Thermo Scientific, Bremen, Germany) online coupled to an Orbitrap Elite mass spectrometer (Thermo Scientific, Bremen, Germany).  The injection volume was 15 ul of the sample, representing an amount of 250 ng peptides.The MS was operated in a data-dependent mode. Full scan MS spectra were acquired at a resolution of 60,000 in the Orbitrap analyzer, while tandem mass spectra of the twenty most abundant peaks were measured in the linear ion trap after peptide fragmentation by collision-induced dissociation (CID).	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD000625
Lipidomics reveals dramatic lipid compositional changes in the maturing postnatal lung	Lipidomics, proteomics and metabolomics characterization of the ontogeny of lipid, protein and metabolite changes during normal postnatal lung development	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD004651
Mouse and rat liver and liver cell line LC-MS/MS	This study sought to interrogate the effects of lipids and lipid metabolites on the hepatic proteome. Protein expression and tyrosine phosphorylation in high-fat diet (HFD) mouse livers vs. livers of normal chow fed (NC) mice were investigated using multiplexed quantitative LC-MS/MS (TMT labeling). Additionally, the rat hepatoma cell line H4IIE was used to monitor the effects of free fatty acids on tyrosine signaling, gene expression and the levels of reactive oxygen species. These data were used to inform potential points of intervention and chemical perturbations and their effects on phenotypic and signaling output in the cell line, and included small molecule inhibtors of Src-family kinases and antioxidants. Based on the in vitro effects, HFD mice were fed an antioxidant and phenotypic and tyrosine signaling changes were measured.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD011458
Model-driven analysis of metabolic immunomodulators of macrophage activation	Model-driven multi-omic data analysis of the RAW 264.7 cell line elucidates metabolic immunomodulators of macrophage activation	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003055
Concurrent EPA and DHA Supplementation Impairs Brown Adipogenesis of C2C12 Cells	To confirm changing C2C12 cells genetic profile and losing their myogenic ability, we investigated the combined effect of EPA and DHA on the relative expression of genes regulating the terminal differentiation of myoblast into mature multinucleated myotubes.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD016929
Activity-Based Probes for Isoenzyme- and Site-Specific Functional Characterization of Glutathione S-transferases	Characterization of Glutathione S-transferase activity associated with phase II drug metabolism.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD006920
Mouse retinal tissue study in VEGF-induced hyperpermeability.	The goal of the project is to identify novel therapeutic targets for retinal vascular hyperpermeability. Three condition (Control, VEGF, and Anti-VEGF) sample of mouse retinal tissues were extensively characterized by global proteome profiling.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD003656
Characterization of signaling pathways associated with pancreatic beta-cell adaptive flexibility in compensation of obesity-linked diabetes in db/db miceCharacterization of signaling pathways associated with pancreatic ¦Â-cell adaptive flexibility in compensation of obesity-linked diabetes in db/db mice	To characterize the signaling mechanisms underlying beta-cell dysfunction in db/db mice and their return to a more ¡°normal¡± beta-cell phenotype, we applied a mass spectrometry-based quantitative phosphophoproteomics and sialiomics(sialylated N-linked glycopeptides) approach to normal and db/db beta-cells from hyperglycemic and euglycemic environments.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD017469
Phosphoproteomic analysis indicates that the B cell cytoskeleton is disrupted after exposure to mercury	Exposure to environmental mercury (Hg) currently may contribute to immune system dysfunction and autoimmune disease.  In this study phosphoproteomic analysis was used to investigate the impact of Hg2+ on a B cell line.  Treatments were with 0, 2, 5, 10, 20, 50 and 100 uM Hg2+.   1713 phosphoproteins and 1937 confidently localized phosphorylation sites were identified.  161 phosphoproteins responded to Hg2+ treatment (ANOVA, 10% FDR).  Hg2+ at 50 and 100 uM stimulated Tyr phosphorylation on residues in the B-cell receptor complex as well as other systems.  At 20 uM and below Hg2+ primarily caused hyperphosphorylation of pSer/Thr residues and affected cytoskeletal systems.  Map Kinase 1 was exceptional as it was hyperphosphorylated at Tyr 185 following 20 uM and lower Hg2+ treatments.  These results contribute novel insight into the mechanism for immune system disruption by Hg2+.	http://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD005415
